"Qty","Value","Device","Parts",
"2","0402 10pF 16V 5% C0G/NP0","C-EUC0402-SMALLER","C4, C5",
"2","0402 100K 1%","R-EU_R0402-SMALLER","R2, R3",
"3","0402 100nF 16V X7R 10%","C-EUC0402-SMALLER","C1, C2, C3",
"2","0402 100nF 16V X7R 10% (NP)","C-EUC0402-SMALLER","C6, C7",
"3","0402 270R 1%","R-EU_R0402-SMALLER","R4, R7, R9",
"1","0402 470R 1%","R-EU_R0402-SMALLER","R1",
"2","0603 1K 0.05%","R-EU_0603K-SMALL","R14, R15",
"2","0603 2.2K 0.05%","R-EU_0603K-SMALL","R11, R13",
"2","0603 6.8K 0.05%","R-EU_0603K-SMALL","R10, R12",
"1","0603 10K 0.05%","R-EU_0603K-SMALL","R5",
"1","0603 NP","R-EU_0603K-SMALL","R16",
"1","0805 10R 0.05%","R-EU_R0805","R6",
"1","930175100","M01-BUG10","J4",
"1","930175101","M01-BUG10","J3",
"1","B2B-PH-SM4-TB","M02-JST-PH-SMD-VERT","J5",
"2","CL2160R","M01-CL2160R","J1, J2",
"1","CR2032 3V","BATTERY-KEYSTONE_1058","BAT1",
"3","FIDUCIAL1X2.5-STOP","FIDUCIAL1X2.5-STOP","JP1, JP2, JP3",
"1","J01001A1944","BNC_J01001A1944","X1",
"1","KPTL-3216SURCK-01","LED-KPTL-3216","D1",
"2","L203011MS02Q","SWITCH-DP3T-L203011MS02Q","SW1, SW2",
"1","LMV321ILT","LMV321M5X","IC1",
"2","MAX4239AUT","MAX4239","U1, U2",
"4","MOUNT-HOLE3.2","MOUNT-HOLE3.2","H1, H2, H3, H4",
"1","ROHS-1MM","ROHS-1MM","U$1",
"1","STM809RWX6F","STM809RWX6F","U3",
"1","UCURRENT-BATTOK","UCURRENT-BATTOK","L1",
"1","UCURRENT-SW1","UCURRENT-SW1","L2",
"1","UCURRENT-SW2","UCURRENT-SW2","L3",
"1","Y14870R01000B9R","R-EU_KELVIN_Y14870R01000B9R","R8",
